,NMESES_DEUDA_NOR100_1M,MAX_NRO_CUOTAS_AM_8D_ATRASO_3M,AVG_DEUDA_NOR_12M,MAX_NRO_CUOTAS_AM_15D_ATRASO_3M,MAX_NRO_CUOTAS_AM_8D_ATRASO_1M,MAX_DA_VIGENTE_RCC_3M,MAX_NRO_CUOTAS_AM_15D_ATRASO_1M,NMESES_DEUDA_NOR100_12M,MAX_DEUDA_CPP_3M,CALIF_VIGENTE_RCC_1M,MAX_DEUDA_NOR_3M,TARGET_COBRANZA
2751,1.0,0.0,92.30769,0.0,0.0,8.0,0.0,12.0,0.0,0.0,100.0,0
2752,1.0,3.0,92.30769,3.0,1.0,1.0,1.0,12.0,0.0,0.0,100.0,0
2753,1.0,2.0,86.55923,2.0,1.0,9.0,1.0,11.0,74.73,0.0,100.0,1
2754,1.0,2.0,92.30769,0.0,1.0,1.0,0.0,12.0,0.0,0.0,100.0,0
2755,1.0,0.0,87.5,0.0,0.0,0.0,0.0,7.0,0.0,0.0,100.0,0
2756,0.0,3.0,61.53846,2.0,1.0,25.0,1.0,3.0,0.0,1.0,54.918,1
2757,1.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,0
2758,1.0,0.0,100.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,100.0,0
2759,1.0,2.0,92.002304,1.0,0.0,0.0,0.0,8.0,0.0,0.0,100.0,1
2760,0.0,3.0,62.954617,2.0,1.0,20.0,1.0,6.0,100.0,1.0,76.63,0
2761,1.0,1.0,92.30769,0.0,1.0,4.0,0.0,12.0,0.0,0.0,100.0,0
2762,1.0,1.0,100.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,100.0,1
2763,1.0,0.0,81.496925,0.0,0.0,15.0,0.0,6.0,23.59,0.0,100.0,0
2764,1.0,0.0,92.30769,0.0,0.0,1.0,0.0,12.0,0.0,0.0,100.0,0
2765,1.0,1.0,100.0,1.0,0.0,3.0,0.0,12.0,0.0,0.0,100.0,0
2766,1.0,0.0,92.30769,0.0,0.0,4.0,0.0,12.0,0.0,0.0,100.0,0
2767,0.0,0.0,97.44818,0.0,0.0,6.0,0.0,9.0,0.0,0.0,100.0,1
2768,1.0,0.0,92.30769,0.0,0.0,1.0,0.0,12.0,0.0,0.0,100.0,0
2769,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2770,1.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,0
2771,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2772,0.0,1.0,58.59308,1.0,1.0,0.0,1.0,7.0,67.13,0.0,27.63,0
2773,1.0,0.0,89.645386,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,0
2774,1.0,0.0,100.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,100.0,0
2775,1.0,2.0,77.77778,1.0,1.0,9.0,0.0,7.0,100.0,0.0,100.0,0
2776,1.0,0.0,92.30769,0.0,0.0,8.0,0.0,12.0,0.0,0.0,100.0,0
2777,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2778,1.0,0.0,92.30769,0.0,0.0,1.0,0.0,12.0,0.0,0.0,100.0,0
2779,1.0,0.0,92.30769,0.0,0.0,3.0,0.0,12.0,0.0,0.0,100.0,0
2780,1.0,0.0,92.30769,0.0,0.0,2.0,0.0,12.0,0.0,0.0,100.0,0
2781,1.0,0.0,90.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,100.0,0
2782,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2783,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2784,0.0,1.0,61.53846,1.0,1.0,25.0,1.0,6.0,62.63,1.0,54.918,1
2785,1.0,2.0,92.30769,0.0,0.0,7.0,0.0,12.0,0.0,0.0,100.0,0
2786,0.0,1.0,28.026154,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0
2787,1.0,0.0,91.746925,0.0,0.0,1.0,0.0,10.0,0.0,0.0,100.0,0
2788,0.0,1.0,84.61539,1.0,0.0,5.0,0.0,11.0,0.0,0.0,100.0,1
2789,0.0,1.0,61.53846,1.0,1.0,25.0,1.0,6.0,78.076,1.0,54.918,0
2790,1.0,3.0,92.30769,1.0,1.0,6.0,0.0,12.0,0.0,0.0,100.0,0
2791,1.0,0.0,92.30769,0.0,0.0,2.0,0.0,12.0,0.0,0.0,100.0,0
2792,1.0,1.0,88.888885,0.0,0.0,6.0,0.0,8.0,0.0,0.0,100.0,0
2793,1.0,0.0,92.30769,0.0,0.0,2.0,0.0,12.0,0.0,0.0,100.0,0
2794,1.0,1.0,92.30769,1.0,1.0,1.0,1.0,12.0,0.0,0.0,100.0,0
